transaction_id,timestamp,user_id,session_id,amount_eur,product_category,payment_method,country_code,device_type,ip_address,nb_items,is_new_account,account_age_days,delivery_country,billing_country,is_fraud
TXN-00001,2026-03-09 22:36:31,USR-0021,SESS-38676,23.56,Sport,paypal,ES,desktop,156.243.221.9,6,False,384,ES,ES,False
TXN-00002,2026-03-06 23:25:24,USR-0309,SESS-74244,26.57,Beaute,carte_bancaire,GB,desktop,163.127.194.67,1,False,1398,GB,GB,False
TXN-00003,2026-04-18 22:50:00,USR-0105,SESS-46367,49.08,Alimentation,carte_bancaire,FR,mobile,195.28.91.17,2,False,752,FR,FR,False
TXN-00004,2026-04-02 17:14:29,USR-0012,SESS-75789,62.13,Bijoux,virement,FR,desktop,140.0.247.176,2,False,14,FR,FR,False
TXN-00005,2026-03-21 22:57:43,USR-0596,SESS-10697,205.49,Voyages,paypal,FR,mobile,157.47.192.29,1,False,77,FR,FR,False
TXN-00006,2026-05-21 06:23:07,USR-0300,SESS-55236,23.05,Mode,carte_bancaire,ES,desktop,85.3.79.54,1,False,148,ES,ES,False
TXN-00007,2026-05-02 01:28:41,USR-0191,SESS-54653,33.8,Sport,carte_prepayee,BE,mobile,192.190.213.77,4,False,1108,BE,BE,False
TXN-00008,2026-04-14 07:33:53,USR-0272,SESS-43244,43.97,Voyages,virement,IT,tablet,98.225.67.15,2,False,1075,IT,IT,False
TXN-00009,2026-03-01 09:45:52,USR-0500,SESS-34550,31.06,Bijoux,paypal,ES,tablet,41.172.98.27,2,False,1339,ES,ES,False
TXN-00010,2026-05-08 22:16:48,USR-0014,SESS-70248,43.9,Sport,carte_prepayee,FR,mobile,147.181.200.118,2,False,1071,FR,FR,False
TXN-00011,2026-03-10 23:24:52,USR-0336,SESS-81350,56.06,Electronique,paypal,FR,desktop,81.226.196.210,1,False,259,FR,FR,False
TXN-00012,2026-04-27 07:39:47,USR-0193,SESS-21699,66.45,Mode,carte_bancaire,CH,desktop,176.24.173.21,1,False,1632,CH,CH,False
TXN-00013,2026-04-17 00:44:58,USR-0301,SESS-82178,272.0,Electronique,carte_prepayee,FR,mobile,176.10.143.195,2,True,5,XK,FR,True
TXN-00014,2026-04-09 05:00:39,USR-0007,SESS-72425,84.23,Livres,carte_bancaire,DE,mobile,103.177.172.63,1,False,386,DE,DE,False
